Date,AAPL,AMGN,AMZN,AXP,BA,BTC-USD,CAT,CRM,CSCO,CVX,DIS,GC=F,GLD,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT,^IRX,^TNX
2022-07-22,151.3382874,220.2356873,122.4199982,146.8473969,158.1600037,22714.97852,168.5827942,180.5705414,40.35271454,125.0044022,101.0356674,1727.099976,160.6699982,297.6965027,282.3514404,158.7680359,112.181282,155.0655212,105.6378098,55.86536026,235.7599792,98.14280701,81.73471832,253.0287323,103.5244904,17.29307938,131.6537628,250.8578644,146.7856903,493.8442078,208.0896912,35.71905136,42.2298851,2.355000019,2.782999992
2022-07-25,150.2186584,222.7160797,121.1399994,147.595993,156.6399994,21361.70117,171.5935211,175.4444733,40.24380875,128.7236023,101.0061569,1719.0,160.2299957,297.8711548,281.946228,158.5842896,112.4349289,155.3718719,106.0612488,56.40959167,232.4090729,98.14280701,82.11569214,251.5418091,103.6762924,16.99851799,132.5466614,250.8578644,150.1263885,501.4780579,208.6446838,35.96815491,42.1692009,2.392999887,2.819999933
2022-07-26,148.8927612,224.8831024,114.8099976,143.7954865,155.9199982,21239.75391,171.0460815,168.6855927,39.78091431,127.7179413,98.14386749,1717.699951,160.0399933,292.7522278,274.6063232,158.7242737,112.0325699,156.470993,104.4043274,57.33478928,238.6374359,102.9943314,82.80503845,244.8069611,99.80550385,16.508255,132.8044128,246.286377,150.9522095,503.4859924,206.9114227,36.09673309,38.96226501,2.474999905,2.786999941
2022-07-27,153.9900665,225.4024353,120.9700012,145.5229797,156.0899963,22930.54883,174.8401947,178.4231262,40.51609039,129.3997955,101.8028717,1719.099976,161.6699982,298.2571106,275.2786865,160.6840363,112.942276,156.0385437,106.0796585,57.1533699,240.3082886,101.6113129,82.75061798,261.1727905,102.3291092,17.76337433,134.065506,224.6688995,149.1692505,506.346344,204.9444427,36.08869553,40.43477631,2.382999897,2.733999968
2022-07-28,154.5401001,223.638443,122.2799988,146.0124817,159.0899963,23843.88672,177.2846985,179.402832,41.40555573,130.3794556,103.1799164,1750.300049,163.6399994,302.4570618,275.9416504,166.61586,113.0297318,156.9394379,105.6838379,58.10577774,244.5502472,102.7162781,81.580513,268.6268005,106.4750214,17.95708656,136.2931976,235.3904877,146.1475525,512.8626709,205.8013916,36.60298538,41.44412994,2.308000088,2.680999994
2022-07-29,159.6079254,221.5968323,134.9499969,147.8167572,159.3099976,23804.63281,187.1097107,182.1044464,41.17864609,141.987793,104.3602371,1762.900024,164.1000061,306.3903809,277.1481018,168.3831787,114.4030457,157.2277374,106.1901016,58.20556259,244.4667511,104.816391,81.0362854,272.8348999,109.0270691,18.13581657,127.8703766,234.325119,148.9252167,513.6676636,206.5414124,37.11728287,42.17877579,2.298000097,2.64199996
2022-08-01,158.6257629,219.9581299,135.3899994,147.1545105,169.0700073,23314.19922,183.910202,181.0752258,41.09695435,139.1528931,104.4782715,1769.0,165.0299988,305.1864624,281.6422729,167.9719849,115.4964218,156.6781921,105.1315308,58.52301788,245.2649841,104.9042282,80.30155945,270.1817627,108.4388885,18.41340065,131.5433044,235.4388885,146.6448975,507.0755615,205.8111115,37.17352676,42.33530426,2.265000105,2.605999947
2022-08-02,157.1525574,218.4090118,134.1600037,145.4942017,163.2799988,22978.11719,173.1980133,181.8768158,40.77022552,137.9651642,102.9930344,1771.099976,164.0500031,301.3266296,276.9362793,165.4610138,115.2952347,155.7862854,103.4930191,57.72481537,242.3132172,103.7260895,79.46707153,267.081604,106.0385895,18.49827003,130.6687927,235.9425659,147.0578308,507.1513672,200.8449554,36.4342308,42.38000488,2.463000059,2.740999937
2022-08-03,163.163269,221.3012848,139.5200043,149.1699371,166.6399994,22846.50781,172.5939941,187.6757965,41.48724365,134.6881561,107.2323608,1758.0,164.4499969,306.1882019,282.1488342,167.5432281,115.7588348,157.2908478,104.5792313,57.97879028,243.278595,104.9993362,79.47616577,274.5162354,108.419899,18.8647213,133.3659363,231.7875671,148.3809662,512.0670166,203.0066681,36.42620087,41.68368149,2.427999973,2.747999907
2022-08-04,162.8489685,221.15802,142.5700073,150.5519562,166.5,22630.95703,173.3206787,189.2789459,41.18772888,131.0296783,106.3471146,1788.5,167.1699982,304.9934692,282.8855896,168.3656921,115.1465454,154.7682495,103.4285812,57.75202942,241.932663,108.3873825,78.75051117,275.6629333,108.609642,19.18624115,133.1542053,235.4388885,147.9868164,505.5318604,207.8656769,35.70297623,40.10896683,2.378000021,2.676000118
2022-08-05,162.622818,220.504364,140.8000031,151.166153,165.0399933,23289.31445,174.9723511,188.1903839,40.85191345,133.1970062,104.881546,1772.900024,165.2899933,307.5667725,285.2063293,168.2169189,115.8813019,154.1556396,106.5583267,57.48898697,240.6238708,107.8678131,79.28567505,274.9437866,108.0309067,18.96057892,133.2186279,229.6180725,149.1692505,506.7725525,210.2026672,36.12083817,40.4315834,2.410000086,2.839999914
2022-08-08,162.1507111,221.4356079,139.4100037,150.9454651,165.8899994,23809.48633,175.3687592,187.7747498,40.8609848,132.9976196,107.3208847,1786.800049,166.6900024,307.5759277,287.3060913,169.7042542,115.9949951,153.3358154,105.2603989,57.11709213,238.3682556,108.650795,80.26528168,272.4266968,108.1542511,17.76636696,133.7249451,232.9207611,150.1263885,508.2310791,207.7196655,35.79137802,40.76057053,2.460000038,2.765000105
2022-08-09,162.1998901,222.3937531,137.8300018,152.4042206,164.8500061,23164.31836,175.5764008,180.3429413,40.77022552,134.7314911,106.3569489,1794.0,167.1999969,309.3588562,281.0805664,169.8092957,114.6752777,153.3177643,106.2085266,57.18964767,241.3943176,108.1824646,81.19953918,274.3510132,104.4637222,17.06042862,133.4119568,225.0466156,152.8853149,508.8562622,204.7399902,35.90386963,41.16304016,2.569999933,2.796999931
2022-08-10,166.4486542,225.7337799,142.6900024,155.8976135,169.0200043,23947.64258,180.0028229,186.6466217,41.76860046,135.0869446,110.586441,1795.599976,166.7799988,319.7345276,286.9468994,172.5564423,116.4733124,153.759201,108.9792633,57.73388672,242.6009674,109.3093796,80.90023804,281.0177917,107.3383484,18.06991577,134.6730652,236.0684509,154.8465881,509.2919312,206.5316772,36.032444,41.24927902,2.535000086,2.786000013
2022-08-11,165.7109833,222.3848114,140.6399994,156.4254608,167.8800049,23957.5293,183.098526,184.7862091,41.65968704,138.3813019,115.7602005,1789.699951,166.3399963,323.1991577,286.1272888,174.5435944,117.394455,150.5789948,110.5901566,57.343853,240.6702881,109.5142593,80.66439056,278.9380493,108.2491302,17.91514587,133.7157135,236.3105927,158.4125366,504.6888733,205.9025269,35.98423004,41.64708328,2.49000001,2.888000011
2022-08-12,169.2614746,222.4206238,143.5500031,159.160675,169.9900055,24402.81836,185.7789612,187.9133301,42.30409622,138.5807343,119.5765762,1798.599976,167.8699951,325.1659546,289.9952698,176.6186676,118.6964645,148.9213257,112.4219589,57.77924347,243.3621521,111.4021759,82.56013489,283.6903687,110.1180954,18.68099785,135.0136871,243.6907501,160.9931641,514.9556885,206.1463165,36.28155518,42.41701126,2.5,2.848999977
2022-08-15,170.3334808,224.8294067,143.1799927,158.7383728,170.4700012,24136.97266,184.9389343,189.0711212,42.28594208,135.9452362,122.2224655,1781.400024,165.7100067,327.0314941,289.7373352,177.832016,119.5113525,149.6330261,112.7257462,58.50488281,246.3881836,110.8094559,82.1791687,285.2064514,110.355278,19.00351715,136.7534637,249.2404175,161.5561981,515.8461914,211.111496,36.61102676,42.53890991,2.513000011,2.790999889
2022-08-16,170.1761169,226.6829681,144.7799988,158.6904144,172.0800018,23883.29102,186.4207153,187.6164398,42.44931793,135.598465,122.9109879,1773.199951,165.4199982,326.2227478,301.4977722,179.0805969,120.9550934,150.9663849,113.8027267,58.98562241,247.1771545,109.9533234,82.17009735,284.467865,112.0060654,18.85074425,138.0145874,248.2040863,162.832428,517.2478027,211.8138428,36.80387878,44.71077728,2.59800005,2.823999882
2022-08-17,171.6710205,226.1144714,142.1000061,157.2987976,167.1999969,23335.99805,184.9200592,186.003418,42.34947968,136.7167664,120.7962418,1760.300049,164.3500061,325.0923767,300.0057983,178.2980499,122.044548,150.9754333,112.8454056,58.84955978,247.6690521,107.8824539,82.57827759,283.717926,111.0383606,18.30755806,137.3794403,243.5551453,163.2453613,516.1870728,209.2581177,36.4342308,44.75889969,2.568000078,2.892999887
2022-08-18,171.2776337,225.3203735,142.3000031,158.0186005,168.6900024,23212.73828,186.2602997,185.9737091,44.80912018,139.1137848,120.6585312,1755.300049,163.9199982,325.8091736,299.4993591,179.1245728,123.1782761,150.2456818,111.9709167,59.15795898,247.4462585,107.3336334,82.90481567,282.5979614,110.0611801,18.74490356,137.8672943,241.7105408,163.3860931,516.3954468,209.9701843,35.51011658,44.61453247,2.565000057,2.880000114
2022-08-19,168.6910095,226.3671265,138.2299957,155.7056427,162.9199982,20877.55273,184.6086426,181.8570251,44.2010231,137.9502716,118.1700211,1747.599976,162.7200012,320.984375,295.9169617,177.2253571,122.5582352,152.5339813,109.2001724,59.11260223,247.4092102,107.3410263,83.5216217,278.6828613,107.357338,17.82228661,137.8304749,237.4485779,162.0066223,519.331604,207.599823,35.69493866,43.95687866,2.579999924,2.989000082
2022-08-22,164.8061981,222.7937775,133.2200012,151.3485413,158.9799957,21398.9082,180.9844055,175.1377106,43.30247498,137.2591705,114.038887,1734.0,161.6399994,314.6891174,287.5270691,173.9544678,120.0605087,151.9988861,107.3959808,58.23276138,244.0769043,104.672287,82.68711853,270.5020752,104.6819229,17.00850487,137.4622803,234.4001312,158.7222137,515.7796021,203.4930878,35.49404907,43.17090988,2.648000002,3.036999941
