Ticker,AAPL,AMGN,AMZN,AXP,BA,BTC-USD,CAT,CRM,CSCO,CVX,DIS,GC=F,GLD,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT,^IRX,^TNX,AAPL,AMGN,AMZN,AXP,BA,BTC-USD,CAT,CRM,CSCO,CVX,DIS,GC=F,GLD,GS,HD,HON,IBM,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,NVDA,PG,SHW,TRV,UNH,V,VZ,WMT,^IRX,^TNX
Price,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,131.9926147,203.723587,164.3289948,120.9708633,211.9199982,44918.18359,180.7444153,234.2558441,41.09249496,74.80747986,186.5205688,1840.599976,172.7100067,271.5402222,248.3287506,172.0631714,96.28399658,144.7225037,123.5431137,42.97298431,192.4142303,125.9272232,61.49198532,232.9954834,133.5099792,14.72366714,113.8248291,227.1043396,132.5080566,309.3734741,199.0882721,41.16813278,44.97857285,0.03500000015,1.133000016,73046600,2964400,63032000,2929100,11510700,87301089896,2816400,5535600,44540900,8778800,11464600,543,6112800,3213700,2410600,2010171,5090673,5921300,10323200,22965400,3161600,2307084,11721566,22186700,4125700,485352000,8594100,1541400,1528600,4122700,8467600,16232800,18576900,0,0
2021-02-11,131.7391968,202.2947998,163.1065063,121.0463486,210.6600037,47909.33203,181.3203583,238.728775,41.38824081,74.40322113,187.7795715,1824.900024,171.2100067,269.7911072,246.876297,172.0802612,95.23640442,144.0718231,123.1980743,43.57945251,192.2975922,124.2514801,61.36883163,234.5978851,134.52211,15.20882893,113.9224854,229.3265533,132.8803253,309.0673218,203.4733429,40.89847565,44.94425201,0.03500000015,1.157999992,64280000,1633900,46028000,3733000,7140200,81388911810,2178200,6091600,18589900,8572400,17507900,602,5994500,2159900,2595300,1813249,5629154,4871300,9201000,21928600,2583600,2617326,8780982,15751100,3828700,450828000,6139200,1203000,887300,2776700,8411100,17398800,12791400,0,0
2021-02-12,131.9731445,204.1625214,163.885498,122.282196,210.9799957,47504.85156,180.9912567,237.8678284,41.13598633,74.8317337,184.5926971,1821.599976,170.6900024,273.3606567,247.2772522,173.2632751,95.14977264,144.5229492,124.9496078,43.9173584,191.9655304,125.2961731,61.58230972,235.0776978,133.1913452,14.92012596,113.2922134,229.8876953,132.5353088,304.5853271,202.797226,40.59884644,45.08467102,0.03500000015,1.200000048,60145100,1460300,46706000,2873300,6010800,76555041196,1804200,4314400,15239800,7858300,27233800,259,6018900,1977300,2392200,2111708,4049275,4413100,8324600,13137100,2781200,1293474,6738116,16561100,3637000,374756000,8407300,1308600,1313000,2760800,6911000,18357300,13423500,0,0
2021-02-13,,,,,,47105.51563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70250456155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-14,,,,,,48717.28906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71248675228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-15,,,,,,47945.05859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77069903166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-16,129.8478546,200.4013214,163.4474945,123.2821732,217.1799927,49199.87109,185.0043335,246.0022583,40.4574852,76.36511993,183.294342,1797.199951,168.2400055,278.3938293,245.3882599,173.1526642,94.5747757,143.2128906,127.957222,43.55347443,192.9796143,123.8448029,60.96648026,233.839859,132.8071136,15.28811073,113.5585175,225.54216,133.8610382,301.2262573,200.8074799,40.56140137,45.45604324,0.03500000015,1.299000025,80576300,2018100,51494000,2730600,10171100,77049582886,3722700,10837600,18539000,14006000,11630700,1141,14761100,2792200,2873500,2422687,6945231,5656100,12130600,15093400,2892900,2193464,9734453,26728500,4873400,321960000,8246000,1562700,1122100,4339000,9652700,22095700,27891000,0,0
2021-02-17,127.5568085,202.7854309,165.4320068,121.2821884,215.5200043,52149.00781,184.9311981,245.0819397,40.23132324,78.65287781,183.3828888,1771.099976,166.3300018,279.0899353,250.3158112,171.8418884,94.49601746,143.7247772,128.3552704,43.43217087,191.5616302,123.8587952,62.02570724,234.859314,134.9438629,14.86502743,114.0378952,229.9992828,134.7962952,303.3047791,200.4307709,42.6887207,45.93663406,0.03500000015,1.300999999,97918500,1575400,65950000,3088800,9276000,80820545404,2290400,5879200,13296300,14342300,11391800,614,11400700,2333100,3536400,3087722,4141219,6676700,10810100,12794300,3280000,1887408,13876463,21653500,6437100,274756000,8845200,1719600,924300,2620000,8373200,40531300,25571100,0,0
2021-02-18,126.455162,200.1345215,166.411499,121.2161484,208.4799957,51679.79688,182.7555542,244.4387054,40.30961227,77.89849854,179.9992676,1773.400024,166.3200073,276.555481,252.2137146,173.2207336,95.09461212,143.7941589,128.7887421,43.98666382,193.338623,125.7659531,61.91895294,234.4649811,135.9747467,14.78824043,114.9877701,231.7081604,134.1061401,304.7431946,202.2080383,42.68122482,42.95947266,0.02300000004,1.286999941,96856700,1945300,60548000,2269700,9121300,52054723579,2345800,4152800,16867500,9030600,12380900,587,7498200,2093300,3532000,1872559,5646413,5189100,10587800,12747100,2191000,2496172,10004627,16925600,4486800,233868000,6936400,1444200,918200,2383500,7328600,20759900,96927300,0,0
2021-02-19,126.6111374,199.4115448,162.4949951,124.2538834,217.4700012,55888.13281,191.8878021,243.9934235,39.73550415,78.55449677,180.6386108,1775.800049,167.0099945,281.6600342,249.175293,173.254776,93.72408295,141.3995972,130.9383392,43.41485214,190.4757385,123.7816925,61.0157547,231.7528076,133.0975952,14.88546848,112.8483353,228.5677338,132.4898987,301.1891174,197.7456512,42.28422165,43.17168427,0.02300000004,1.345000029,87668800,2471500,86104000,3419500,12415300,63495496918,4937300,4647700,25117700,8913900,8834500,118,8273500,2749500,4079900,2582898,6881320,8190900,11969800,15968800,3181600,3572213,12388198,25262600,7486000,271724000,8277900,1486200,1124700,2313800,15011500,18689400,36606000,0,0
2021-02-20,,,,,,56099.51953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68145460026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,,,,,,57539.94531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51897585191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,122.8382797,199.2222137,159.0370026,128.2538605,212.8800049,54207.32031,199.338089,238.4417725,39.51803589,80.67823792,188.6156311,1806.699951,169.5099945,282.7754822,245.798111,173.3058472,95.19703674,141.3123474,132.1679688,43.8653717,190.314209,123.4872055,61.52482605,225.5399323,128.0837402,14.31628895,112.3689651,225.927948,134.2696228,304.0286255,201.2132111,42.28422165,42.96884918,0.02500000037,1.370000005,103916400,2334800,70314000,3923100,21413700,92052420332,4578300,5055000,21435800,13178700,18799600,165,10072000,3162300,3995500,2339823,6149643,6447100,11488400,14370900,2910800,2716714,8612464,36446900,8985900,325884000,6975500,1414200,1243900,2688300,8337700,17854900,32106600,0,0
2021-02-23,122.7017822,200.0742798,159.7250061,129.1877747,212.1199951,48824.42578,201.2760773,233.1870728,39.58761978,81.69502258,193.8582458,1804.400024,169.1199951,284.8638,238.1261749,174.5144348,95.07887268,140.0639343,133.2294312,43.78738785,189.6500397,123.5222549,61.20458984,224.3473663,127.5776596,14.10312557,113.2034302,222.0893097,135.5953522,305.7638245,204.8739166,42.71867371,42.27604675,0.02300000004,1.361999989,158273000,2919200,93544000,4814400,15996700,106102492824,4125100,8641600,19714900,14874000,23191400,569,8616800,2942500,12111000,2609317,4739740,7042800,16234400,16222300,3243000,2813351,10900458,30228700,10364100,391780000,10145300,2318400,949200,3225700,10571700,21062000,31300200,0,0
2021-02-24,122.2045822,197.9483795,157.9765015,131.9707947,229.3399963,49705.33203,203.3694763,237.9667969,39.78769302,84.71255493,194.271347,1796.400024,169,295.0639343,231.6481323,179.6126709,97.0480423,141.9408722,135.5736237,43.93468857,191.4001465,124.5459366,61.22922897,225.5783997,127.1278381,14.45914459,113.3277206,217.4471283,137.0753937,308.2692871,211.9441528,42.78609467,41.57077789,0.02800000086,1.389000058,111039900,2690500,60226000,4099500,30709300,63695521388,4925000,6128300,17823600,16116000,16205900,1500,8890600,3934400,14512700,3545332,6087720,10286100,15061400,14442000,2887100,3280150,9838834,26339700,6360900,448320000,7263000,2742000,1484300,3360500,12039000,17136900,46565700,0,0
